Site,Date,Lat,Lon,Prec1,Prec7,Prec30,MaxP7,MaxP30
ZEVGO,28/02/2018,41.09019,23.29307,7.43,44.43,110.86,15.61,15.61
ZEVGO,27/02/2019,41.09019,23.29307,0,11.17,67.8,10.83,18.56
3POTAMO,15/04/2019,37.36144199,22.09469877,2.8,51.67,123.05,19.04,25.74
3POTAMO,25/05/2020,37.36144199,22.09469877,0,7.96,26.79,5.94,15.29
3POTAMO,30/06/2021,37.36144199,22.09469877,0,0.2,51.4,0.16,19.68
3POTAMO,20/07/2019,37.36144199,22.09469877,1.23,22.25,31.82,19.28,19.28
3POTAMO,2/7/2020,37.36144199,22.09469877,0,4.18,9.68,3.49,3.49
3POTAMO,26/01/2021,37.36144199,22.09469877,9.04,35.56,171.25,14.82,29.95
3POTAMO,5/3/2019,37.36144199,22.09469877,0.69,9.45,83.87,7.48,34.67
3POTAMO,31/01/2020,37.36144199,22.09469877,1.31,16.89,24.59,9.88,9.88
A10,25/05/2020,40.657406,22.697451,0,34.68,40,34.23,34.23
A10,25/02/2019,40.657406,22.697451,0.01,6.57,53.18,6.54,10.7
A10,24/01/2020,40.657406,22.697451,0,0.39,4.51,0.22,2.97
A2,25/02/2019,40.862941,21.629708,0.18,7.59,46.51,6.3,9.99
A2,25/02/2019,40.52782545,22.71522152,0.02,7.75,54.11,7.7,11.41
A2,23/01/2020,40.862941,21.629708,0,0.13,12.29,0.08,4.12
A2,23/01/2020,40.52782545,22.71522152,0,0.33,4.57,0.2,2.82
A25,19/05/2020,40.895188,22.615196,0.03,0.08,28.65,0.05,10.07
A25,29/09/2021,40.895188,22.615196,10.59,11.12,20.61,10.59,10.59
A25,25/07/2019,40.895188,22.615196,0.06,0.44,55.28,0.34,34.84
A25,12/7/2020,40.895188,22.615196,0.03,9.36,22.82,4.08,4.08
AG_THOMAS,27/08/2018,38.38216987,21.45569016,1.85,6.45,19.66,4.56,4.56
AG3,30/05/2021,40.927238,23.828493,0,4.85,28.82,3.93,14.29
AG3,4/2/2020,40.927238,23.828493,0.01,0.35,9.36,0.28,5.06
AG3,4/2/2021,40.927238,23.828493,0.03,11.22,109.51,5.28,27.99
AG3,27/02/2018,40.927238,23.828493,16.01,30.68,89,16.01,16.01
AG30,20/05/2020,41.0315043,24.0468311,0,0.07,48.22,0.05,15.28
AG30,31/05/2021,41.0315043,24.0468311,5.57,16.84,45.47,7.36,12.58
AG30,24/05/2018,41.0315043,24.0468311,0.95,16.82,75.96,9.18,12.21
AG30,22/05/2019,41.0315043,24.0468311,0.15,5.63,54.25,3.8,12.75
AG30,11/9/2020,41.0315043,24.0468311,0,1.27,22.13,1.26,10.36
AG30,24/09/2021,41.0315043,24.0468311,0,16.22,37.57,9.07,9.07
AG30,14/09/2018,41.0315043,24.0468311,0.18,11.21,29.97,4.65,11.61
AG30,11/9/2019,41.0315043,24.0468311,0.79,8.78,45.29,6.52,24.07
AG30,3/2/2020,41.0315043,24.0468311,0,2.07,9.7,1.25,4.03
AG30,2/2/2021,41.0315043,24.0468311,8.85,36.23,177.17,17.11,32.42
AG30,1/3/2019,41.0315043,24.0468311,0,8.07,35.81,5.09,10.43
AG30,1/3/2018,41.0315043,24.0468311,1.65,42.87,120.21,17.93,17.93
AG31,22/05/2019,41.041846,24.037177,0.15,5.63,54.25,3.8,12.75
AG31,20/05/2020,41.041846,24.037177,0,0.07,48.22,0.05,15.28
AG31,31/05/2021,41.041846,24.037177,5.57,16.84,45.47,7.36,12.58
AG31,11/9/2020,41.041846,24.037177,0,1.27,22.13,1.26,10.36
AG31,15/09/2018,41.041846,24.037177,0.03,10.88,29.77,4.65,11.61
AG31,3/2/2020,41.041846,24.037177,0,2.07,9.7,1.25,4.03
AG31,24/05/2018,41.041846,24.037177,0.95,16.82,75.96,9.18,12.21
ALMYR_DW,2/3/2018,39.18198732,22.77727457,0,51.75,184.53,18.68,64.14
ALMYR_DW,6/2/2020,39.18198732,22.77727457,3.69,4.67,23.66,3.69,8.46
ALMYR_DW,20/02/2021,39.18198732,22.77727457,0,48.55,74.54,26.26,26.26
ALMYR_DW,10/9/2018,39.18198732,22.77727457,0.05,3.37,26.91,3.24,11.24
AMYNTAS,7/6/2019,40.660245,21.64816,0.16,34.38,96.37,15.45,18.57
AMYNTAS,24/02/2018,40.660245,21.64816,1.83,19.43,97.49,6.39,21.19
AMYNTAS,21/01/2020,40.660245,21.64816,0.01,0.29,25.28,0.13,14.24
APIDITSA,25/05/2020,37.39018312,22.08634712,0,7.96,26.79,5.94,15.29
APIDITSA,15/04/2019,37.39018312,22.08634712,2.8,51.67,123.05,19.04,25.74
APIDITSA,26/01/2021,37.39018312,22.08634712,9.04,35.56,171.25,14.82,29.95
ARAP_DW,30/08/2021,40.659928,22.134234,0.48,1.3,11.07,0.48,2.9
ASSOPOS_DW,3/6/2020,38.29205,23.70917,1.84,24.22,44.24,7.86,7.86
ASSOPOS_DW,12/5/2018,38.29205,23.70917,0.92,40.88,46.05,24.15,24.15
ASSOPOS_DW,29/05/2019,38.29205,23.70917,0,1.52,10.07,0.51,4.28
ASSOPOS_DW,3/2/2020,38.29205,23.70917,0.01,4.06,54.4,3.89,28.67
ASSOPOS_DW,19/02/2021,38.29205,23.70917,0,36.62,62.21,13.07,13.07
ASSOPOS_DW,20/02/2019,38.29205,23.70917,0,39.77,98.86,22.79,22.79
ASSOPOS_UP,25/02/2021,38.30199722,23.59222563,0,1.99,61.75,1.91,12.77
BOGDANO,4/2/2021,40.72882778,23.06355,0.01,6.44,74.2,3.05,15.75
BOGDANO,22/05/2018,40.72882778,23.06355,9.13,32.41,120.09,13.02,20.67
CHALKOUTSI,25/08/2020,38.3291506,23.7479782,0,0.01,10.95,0,5.69
CHALKOUTSI,27/08/2021,38.3291506,23.7479782,0,0.01,1.76,0,1.33
CHALKOUTSI,20/02/2019,38.3291506,23.7479782,0,39.77,98.86,22.79,22.79
CHALKOUTSI,19/02/2021,38.3291506,23.7479782,0,36.62,62.21,13.07,13.07
DAFNOULA,19/02/2019,38.2617658,23.4631176,0,38.64,99.11,20.38,20.38
DERVENI_(Volvi),29/05/2021,40.672012,23.29088,3.76,6.41,19.81,3.76,8.9
DRAMA,21/09/2018,41.14087,24.14227,0,1.71,32.79,0.76,13.43
DRAMA,20/09/2019,41.14087,24.14227,3.13,4.77,15.23,3.13,6.85
DRAMA,4/9/2021,41.14087,24.14227,0.28,13,48.4,4.65,12.8
ELASSON_MD,11/7/2020,39.87154345,22.14997069,0.01,47.2,91.8,22.82,22.82
ELASSON_MD,6/3/2018,39.87154345,22.14997069,8.51,24.97,203.27,10.33,43.32
ELASSON_MD,20/02/2020,39.87154345,22.14997069,0.12,17.7,32.3,10.16,11.85
ELASSON_MD,12/9/2018,39.87154345,22.14997069,0.38,2.83,43.55,2.1,13.55
ELEOUSA,25/02/2019,40.710854,22.678446,0.01,6.57,53.18,6.54,10.7
ELEOUSA,25/01/2020,40.710854,22.678446,0.04,0.42,4.54,0.22,2.97
ELKE,22/05/2020,38.81332521,22.49479135,7.36,8.43,19.91,7.36,7.36
ELKE,26/08/2020,38.81332521,22.49479135,0.96,1.15,68.79,0.96,27.18
ELKE,27/09/2021,38.81332521,22.49479135,0,3.35,28.61,2.94,8.24
ENIPEA,9/5/2019,39.563521,22.087928,0,1.48,42.51,0.71,11.1
ENIPEA,20/05/2020,39.563521,22.087928,0,0,29.21,0,7.98
ERKY,30/08/2019,38.46027098,22.93156164,0,0.34,4.39,0.33,0.93
ERKY,26/08/2020,38.46027098,22.93156164,0.99,1.22,49.31,0.99,21.21
ERKY,1/2/2020,38.46027098,22.93156164,0.01,4.7,37.4,2.69,15.37
ERKY,28/01/2021,38.46027098,22.93156164,3.05,27.87,79.7,17.68,17.68
EVROS_MD,22/05/2018,41.57141212,26.58694203,0.17,4.95,29.88,3.92,6.33
EVROS_MD,21/09/2021,41.57141212,26.58694203,0.01,2.59,9.87,1.09,2.31
EVROS_MD,15/01/2020,41.57141212,26.58694203,0,0.81,21.55,0.8,10.06
EVROS_UP,22/05/2018,41.737417,26.235344,0.12,13.84,50.12,12.94,12.94
EVROS_UP,9/5/2019,41.737417,26.235344,0.29,8.98,54.74,4.47,14.24
EVROS_UP,10/9/2018,41.737417,26.235344,0.14,13.21,14.6,12.72,12.72
EVROS_UP,21/09/2021,41.737417,26.235344,0.01,2.96,10.03,1.7,2.15
EVROS_UP,20/02/2018,41.737417,26.235344,2.53,14.93,88.24,11.41,18.71
EVROS_UP,18/02/2019,41.737417,26.235344,0,4.55,54.23,2.77,14.27
EVROS_UP_LYRA,10/5/2019,41.019826,26.363903,1.5,7.93,49.27,4.54,10.44
EVZONI,4/10/2018,41.1078152,22.53639423,3.23,14.21,16.1,10.7,10.7
EVZONI,25/07/2019,41.1078152,22.53639423,0.07,1.23,60.28,1.09,29.76
EVZONI,11/7/2020,41.1078152,22.53639423,0,11.32,55.24,5.68,11.99
EVZONI,28/09/2021,41.1078152,22.53639423,0.01,0.59,30.18,0.57,8.84
FARI,30/01/2021,40.89942574,22.94914073,3.42,18.63,125.38,7.21,36.95
FARAI,29/04/2018,38.09518584,21.72800665,0,0.18,20.33,0.14,7.74
FARAI,14/05/2020,38.09518584,21.72800665,0,0.08,12.63,0.08,5.29
FARAI,16/04/2021,38.09518584,21.72800665,0,0.4,68.08,0.39,11.72
FARAI,21/07/2019,38.09518584,21.72800665,0,35.82,41.38,29.73,29.73
FARAI,10/2/2020,38.09518584,21.72800665,0,19.91,50.75,19.22,19.22
FILIPP,22/05/2019,40.998714,24.165827,0.07,4.07,59.79,2.68,15.05
FILIPP,24/02/2018,40.998714,24.165827,0.02,4.53,87.05,2.67,18.62
FILIPP,28/02/2019,40.998714,24.165827,0.52,7.78,59.28,3.8,17.81
FILIPP,3/2/2020,40.998714,24.165827,0,2.16,9.69,1.16,3.58
FILIPP,2/2/2021,40.998714,24.165827,10.04,40.81,203.81,20.32,47.85
FILIUR_DW,20/05/2018,41.00134,25.38836,1.12,1.77,29.32,1.12,11.32
FLORI,7/6/2019,40.81964444,21.49683889,0.14,33,99.64,13.36,20.19
FLORI,14/05/2021,40.81964444,21.49683889,0.85,2.36,43.16,1.37,11.62
FLORI,22/01/2020,40.81964444,21.49683889,0,0.23,13.04,0.13,3.79
GALLIKOS_DW,18/05/2020,40.649201,22.829766,0,0.01,15.11,0.01,6.65
GALLIKOS_MD,19/05/2019,40.80758333,22.85614722,0,15.03,32.53,7.81,7.81
GALLIKOS_MD,26/02/2018,40.80758333,22.85614722,10.06,25.17,82.24,10.06,18.93
GALLIKOS_UP,30/01/2021,41.05842259,22.96571451,3.26,24.76,147.21,7.95,46.97
GAZANOS_DW,27/02/2018,35.33528542,25.063828,5.22,32.33,61.47,9.06,9.06
GAZANOS_DW,1/2/2020,35.33528542,25.063828,0.01,2.7,106.64,2.04,18.36
GAZANOS_DW,15/01/2021,35.33528542,25.063828,0.2,3.96,13.31,1.87,1.87
GIAFYROS,27/02/2018,35.32106389,25.10622778,5.22,32.33,61.47,9.06,9.06
GIAFYROS,3/3/2019,35.32106389,25.10622778,1.46,74.45,174.96,42.85,42.85
GIAFYROS,1/2/2020,35.32106389,25.10622778,0.01,2.7,106.64,2.04,18.36
GREVENIOT_VIOLOGIKOS,24/02/2019,40.098935,21.470819,6.36,7.25,63.28,6.36,18.51
GREVENIOT_VIOLOGIKOS,25/02/2021,40.098935,21.470819,0,0.16,83.31,0.15,25.65
GRIBOVO,1/6/2020,39.65858031,20.52043953,7.46,26.99,40.05,7.46,9.69
GRIBOVO,5/9/2019,39.65858031,20.52043953,0.15,5.11,5.93,4.49,4.49
GRIBOVO,8/7/2020,39.65858031,20.52043953,0.84,11.53,44.36,5.15,5.56
GURIOTISA,9/5/2019,38.63088597,21.24546233,0.07,28.66,99.76,13.2,14.56
GURIOTISA,28/02/2018,38.63088597,21.24546233,17.43,112.35,288.72,32.47,32.47
INDUSTRY,12/5/2018,38.3056496,23.6236035,0.88,38.61,44.58,24.33,24.33
INDUSTRY,3/6/2020,38.3056496,23.6236035,0.89,19.64,40.99,8.17,8.17
INDUSTRY,11/9/2018,38.3056496,23.6236035,0,4.27,28.35,4.11,12.63
INDUSTRY,20/02/2019,38.3056496,23.6236035,0,38.2,96.47,21.43,21.43
INDUSTRY,19/02/2021,38.3056496,23.6236035,0,35.44,62.97,12.77,12.77
KALAVRITA,27/04/2018,38.04441678,22.12533243,1.04,1.57,23.62,1.04,10.31
KALAVRITA,21/07/2019,38.04441678,22.12533243,0,52.37,60.49,45.14,45.14
KALAVRITA,19/02/2019,38.04441678,22.12533243,0,12.07,140.06,4.66,23.49
KALLONI,5/5/2018,39.214879,26.193914,0.15,0.29,3.15,0.15,1.72
KALLONI,26/07/2018,39.214879,26.193914,0.01,0.69,32.16,0.6,10.32
KALLONI,1/3/2018,39.214879,26.193914,10.45,52.62,141.09,17.16,18.91
KARTEROS,30/05/2018,35.27713294,25.20570708,0.03,16.18,37.39,8.28,14.06
KARTEROS,23/07/2018,35.27713294,25.20570708,0,0,8.56,0,2.59
KARYTAI,26/04/2018,37.47970556,22.04998333,0,0.89,14.06,0.76,4.54
KARYTAI,20/07/2019,37.47970556,22.04998333,1.32,23.54,32.61,20.46,20.46
KARYTAI,4/3/2019,37.47970556,22.04998333,0.43,8.31,68.15,6.39,26.96
KARYTAI,31/01/2020,37.47970556,22.04998333,1.14,18.59,25.55,9.31,9.31
KARYTAI,26/01/2021,37.47970556,22.04998333,9.99,33.77,169.96,13.77,32.67
KASTRI_(Pinios),29/04/2018,39.62160159,22.67247897,0,0.01,7.5,0.01,3.06
KASTRI_(Pinios),7/5/2019,39.62160159,22.67247897,0.6,1.34,60.09,0.6,15.75
KASTRI_(Pinios),20/05/2020,39.62160159,22.67247897,0,0.02,15.66,0.01,4.38
KIFISOS_MD,6/5/2020,38.0917672,23.7812483,0,2.87,15.62,1.5,5.53
KIFISOS_MD,6/5/2021,38.0917672,23.7812483,0.16,0.16,25.77,0.16,16.17
KIFISOS_MD,24/08/2018,38.0917672,23.7812483,0,0.24,34.71,0.15,10.48
KIFISOS_MD,17/09/2019,38.0917672,23.7812483,0,0.24,0.31,0.24,0.24
KIFISOS_MD,25/08/2020,38.0917672,23.7812483,0,0.01,13.1,0,8.17
KIFISOS_MD,15/09/2021,38.0917672,23.7812483,0,5.51,6.6,2.55,2.55
KIFISOS_MD,8/3/2018,38.0917672,23.7812483,0.21,1.66,74.9,1.16,15.37
KIFISOS_UP,17/09/2019,38.1069224,23.8100553,0,0.24,0.31,0.24,0.24
KLIMATIA,22/02/2021,39.709378,20.633256,0,0.78,354.59,0.72,49.61
KLOKOTO,10/5/2021,39.57768611,22.00542222,0.36,2.12,44.66,1.68,19.98
KOSTARAZI,24/02/2019,40.43514962,21.32095144,5.04,6.02,66.39,5.04,20.83
KOUSBASAN,8/5/2019,39.62813105,22.49352815,1.4,2.67,55.65,1.4,14.01
KOUSBASAN,20/02/2019,39.62813105,22.49352815,0,4.92,72.99,2.89,23.22
KOUSBASAN,1/3/2021,39.62813105,22.49352815,1.28,1.32,40.12,1.28,16.33
KRYA_DW,3/6/2019,38.08636136,23.7662182,0.22,2.11,17.03,1.73,9.74
KRYA_DW,25/08/2020,38.08636136,23.7662182,0,0.01,13.1,0,8.17
LOUDIAS_DW,24/05/2019,40.57743889,22.63039722,0.92,1.19,16.91,0.92,5.23
LOUDIAS_DW,25/05/2021,40.57743889,22.63039722,0,0,7.12,0,5.53
LOUDIAS_DW,5/10/2018,40.57743889,22.63039722,0,17.45,17.71,14.21,14.21
LOUDIAS_DW,20/07/2021,40.57743889,22.63039722,0,7.97,10.36,7.96,7.96
LOUDIAS_DW,2/3/2019,40.57743889,22.63039722,0,7.27,30.06,7.1,11.85
LYKOFOS,10/5/2019,41.111523,26.3034528,1.61,8.85,49.84,5.48,12.15
LYKOFOS,12/9/2018,41.111523,26.3034528,0.01,8.09,9.17,7.41,7.41
LYKOFOS,9/9/2020,41.111523,26.3034528,0,0.02,3.01,0.02,2.24
LYKOFOS,22/09/2021,41.111523,26.3034528,0.12,1.01,11.76,0.52,3.15
LYKOFOS,14/01/2020,41.111523,26.3034528,0,1.64,31.46,1.39,20.89
MAGULA,16/05/2018,39.812976,22.084288,0.38,32.61,86.69,14.86,24.07
MAGULA,6/6/2019,39.812976,22.084288,2.69,12.74,36.41,5.02,7.89
MAGULA,11/5/2021,39.812976,22.084288,0,1.1,35,0.96,15.64
MAGULA,6/3/2018,39.812976,22.084288,8.45,23.11,193.11,9.68,43.67
MAGULA,19/02/2019,39.812976,22.084288,0,6.37,78.91,4.5,16.51
MAGULA,20/02/2020,39.812976,22.084288,0.05,20.26,31.74,10.39,10.39
MAGULA,1/3/2021,39.812976,22.084288,1.54,1.55,43.28,1.54,13.94
MAKRY,4/5/2018,39.255325,22.146075,3.64,6.77,17.93,3.64,4.26
MAKRY,11/5/2021,39.255325,22.146075,0,2.2,44.13,1.81,22.38
MAKRY,4/9/2018,39.255325,22.146075,0,5.66,25.87,5.65,17.12
MAKRY,1/9/2019,39.255325,22.146075,0,0.01,4.53,0,1.39
MAKRY,2/3/2018,39.255325,22.146075,0,87.17,247.7,29.09,43.59
MAN,12/5/2019,38.125554,21.419929,0.26,13.81,52.96,5.25,16.09
MAN,14/05/2020,38.125554,21.419929,0,0.04,8.97,0.04,2.77
MAN,15/04/2021,38.125554,21.419929,0.02,1.66,55.46,1.24,10.14
MAN,9/3/2018,38.125554,21.419929,4.63,35.62,225.89,18.34,29.11
MAN,6/2/2019,38.125554,21.419929,4.82,33.28,259.78,18.04,33.53
MAVRONER,30/04/2018,40.215563,22.562989,0.06,1.02,11.9,0.43,5.23
MAVRONER,24/05/2019,40.215563,22.562989,7.39,12.86,62.29,7.39,14.47
MAVRONER,27/02/2021,40.215563,22.562989,0,3.15,45.7,2.09,12.26
MAVROSLAK,19/05/2018,40.60150378,23.76106556,1.08,2.06,53.49,1.08,18.41
MAVROSLAK,18/05/2020,40.60150378,23.76106556,0,0.01,24.08,0.01,8.38
MAVROSLAK,28/05/2021,40.60150378,23.76106556,0.55,1.28,11.82,0.73,6.92
MAVROSLAK,2/2/2020,40.60150378,23.76106556,0,3.81,14.64,1.96,8.42
MEGA,5/3/2018,39.52941,22.011662,0.14,41.82,260.49,31.07,48.41
MELISSA,20/05/2020,39.559138,22.647291,0,0.01,16.43,0.01,4.38
MELISSA,23/05/2021,39.559138,22.647291,0,0.17,36.7,0.17,17.99
MELISSA,12/9/2018,39.559138,22.647291,0.17,1.28,24.28,1.04,15.47
MELISSA,15/09/2019,39.559138,22.647291,0,0.87,5.92,0.39,2.69
MELISSA,13/07/2020,39.559138,22.647291,0,9.6,32.46,9.37,13.54
MELISSA,8/3/2018,39.559138,22.647291,0.38,13.16,246.39,11.52,60.73
MELISSA,19/02/2020,39.559138,22.647291,0,14.22,26.73,8.47,8.47
MESAGGI,9/9/2018,39.47701111,19.91787778,4.25,6.9,21.45,4.25,6.45
MESOHOR,21/02/2018,41.09726759,25.36603061,0.63,22.73,98.64,21.49,21.49
METSOVO,3/9/2019,39.76331667,21.18476389,3.04,3.12,13.08,3.04,6.86
P061,8/5/2019,39.85137778,22.51186111,2.03,5.27,81.24,2.03,18.71
P061,24/05/2021,39.85137778,22.51186111,0,0.59,27.26,0.58,16.18
P061,21/02/2019,39.85137778,22.51186111,0,1.9,98.24,1.7,25.61
P061,21/02/2020,39.85137778,22.51186111,12.2,25.41,49.34,12.2,12.2
P073,5/6/2019,39.8069,22.399008,0.22,12.66,39.93,7.71,7.71
P073,12/5/2021,39.8069,22.399008,0,0.79,34.06,0.61,14.87
P073,20/02/2020,39.8069,22.399008,0.12,18.92,36.31,9.15,9.47
P088,17/05/2018,39.78782222,22.38941667,0.51,21.68,57.43,9.58,12.46
P088,5/6/2019,39.78782222,22.38941667,0.22,12.66,39.93,7.71,7.71
P088,20/05/2020,39.78782222,22.38941667,0,0.01,38.35,0.01,8.78
P088,12/5/2021,39.78782222,22.38941667,0,0.79,34.06,0.61,14.87
P088,20/02/2020,39.78782222,22.38941667,0.12,18.92,36.31,9.15,9.47
P223,20/05/2020,39.591937,22.220357,0,0,22.5,0,6.16
P223,23/08/2018,39.591937,22.220357,0,1.71,49.93,0.94,11.85
P223,25/08/2020,39.591937,22.220357,0,0.39,35.66,0.39,19.04
P223,19/02/2019,39.591937,22.220357,0,6.79,68.63,4.31,19.26
P223,19/02/2020,39.591937,22.220357,0,18.15,30.83,10.58,10.58
P263,9/5/2019,39.58204,22.11037,0,1.48,42.51,0.71,11.1
P263,20/05/2020,39.58204,22.11037,0,0,29.21,0,7.98
P263,11/5/2021,39.58204,22.11037,0,1.58,34.97,1.38,16.39
P263,25/08/2020,39.58204,22.11037,0,0.63,34.12,0.61,13.73
P263,15/07/2021,39.58204,22.11037,0,0.48,9.63,0.35,2.73
P263,19/02/2020,39.58204,22.11037,0,19.86,32.45,12.01,12.01
P266,23/08/2018,39.568569,22.078457,0,1.86,46.58,0.98,11.93
P266,15/07/2021,39.568569,22.078457,0,0.48,9.63,0.35,2.73
P266,19/02/2020,39.568569,22.078457,0,19.86,32.45,12.01,12.01
P300,4/6/2019,39.526683,21.940047,3.22,5.8,33.83,3.22,16.76
P300,10/5/2021,39.526683,21.940047,0.57,2.73,52.25,2.03,23.49
P300,2/9/2019,39.526683,21.940047,0,0.03,5.93,0.03,2.23
PARK_KYKL,1/5/2018,38.89842487,21.7852023,8.17,10.33,25.84,8.17,8.17
PARK_KYKL,29/08/2021,38.89842487,21.7852023,0.01,1.6,14.92,1.3,5.59
PARK_KYKL,6/2/2020,38.89842487,21.7852023,18.79,21.18,37.5,18.79,18.79
PETHELINO,20/05/2020,40.942397,23.693368,0,0.04,27.37,0.03,6.57
PETHELINO,15/09/2018,40.942397,23.693368,0,3.28,11.49,2.29,3.91
PETHELINO,14/09/2019,40.942397,23.693368,0,1.82,34.31,1.33,13.6
PETHELINO,27/09/2021,40.942397,23.693368,0,7.08,28.5,5.7,8.8
PINIOS,17/04/2021,37.81041836,21.23455319,0.27,1.3,40.14,0.86,6.29
PINIOS,23/01/2020,37.81041836,21.23455319,0,0.03,7.89,0.02,2.77
PINIOS,2/2/2021,37.81041836,21.23455319,6.82,45.55,165.84,29.55,31.05
PLATANIA,15/09/2018,40.3895417,21.35130417,0,0.43,21.9,0.25,16.34
PLATY,21/05/2018,40.67399322,22.54061186,0.67,10.96,37.6,7.46,7.46
PLATY,25/05/2020,40.67399322,22.54061186,0,32.28,44.5,32.22,32.22
PLATY,25/05/2021,40.67399322,22.54061186,0,0.01,10.26,0.01,7.31
PLATY,7/10/2018,40.67399322,22.54061186,0.03,16.97,17.8,12.65,12.65
PLATY,21/07/2019,40.67399322,22.54061186,0.01,15.41,84.92,11.64,43.99
POLYKASTRO,24/07/2019,41.02184,22.55418,0.01,0.64,58.75,0.52,31.05
PORTAIK,17/02/2019,39.526511,21.7122,0.36,8.84,135.99,5.46,30.36
PSAR_DW,18/05/2018,41.046062,22.662448,0.01,3.46,35.39,1.37,12.86
PSAR_DW,29/01/2021,41.046062,22.662448,0.01,17.16,141.63,6.18,51.1
RIZARI,3/5/2018,40.782143,22.088063,0.11,3.4,16.95,1.77,5.88
RIZARI,14/05/2021,40.782143,22.088063,0.52,2.47,46.29,1.42,9.96
RIZARI,22/01/2020,40.782143,22.088063,0,0.32,8.12,0.22,3.48
S15,16/09/2018,40.912552,23.79774,0.01,2.54,14.3,0.9,2.97
S15,13/09/2019,40.912552,23.79774,0.09,5.83,36.7,4.26,13.3
SKALA,6/3/2019,36.84859535,22.68023396,0,12.17,131.64,6.58,59.7
T_XINIADA,11/5/2021,39.119366,22.164597,0,1.87,41.71,1.58,21.74
T_XINIADA,2/3/2018,39.119366,22.164597,0,83,242.79,25.4,54.63
T2,10/7/2020,40.546872,22.329773,0.03,12.71,36.21,4.82,6.41
T2,23/07/2021,40.546872,22.329773,0,21.5,28.44,19.5,19.5
TERPSITHEA,6/6/2019,39.634724,22.354996,1.51,15.84,33.24,9.71,9.71
TERPSITHEA,20/05/2020,39.634724,22.354996,0,0,19.2,0,4.56
TERPSITHEA,12/5/2021,39.634724,22.354996,0,1.72,35.23,1.41,16.85
TERPSITHEA,24/08/2020,39.634724,22.354996,0,1.2,46.77,1.14,31.56
TERPSITHEA,19/02/2020,39.634724,22.354996,0,16.86,29.71,9.76,9.76
THOK,26/04/2018,37.41756452,22.08756002,0,1.27,15.64,0.97,4.37
THOK,25/05/2020,37.41756452,22.08756002,0,7.96,26.79,5.94,15.29
THOK,24/08/2018,37.41756452,22.08756002,0.01,0.91,23.94,0.48,6.2
THOK,20/07/2019,37.41756452,22.08756002,1.23,22.25,31.82,19.28,19.28
THOK,31/01/2020,37.41756452,22.08756002,1.31,16.89,24.59,9.88,9.88
TITAR_DW,17/05/2018,39.786852,22.380001,0.51,21.68,57.43,9.58,12.46
TITAR_DW,6/3/2018,39.786852,22.380001,7.7,21.6,242.35,10.5,58.47
TITAR_DW,28/02/2021,39.786852,22.380001,0,2.85,41.45,2.84,15.44
TITAR_MD,6/3/2018,39.715889,22.188656,7.98,20.29,196.39,8.74,47.1
TITAR_MD,19/02/2019,39.715889,22.188656,0,7.08,72.57,5.05,18.19
TITAR_MD,20/02/2020,39.715889,22.188656,0.04,20.4,31.18,10.1,10.1
TITAR_MD,1/3/2021,39.715889,22.188656,1.65,1.67,40.42,1.65,14.03
VALTOTOPI,23/05/2018,40.9928928,23.5981913,0.17,18.8,69.85,10.18,10.52
VALTOTOPI,21/05/2019,40.9928928,23.5981913,0.21,14.59,38,7.11,8.71
VALTOTOPI,20/05/2020,40.9928928,23.5981913,0,0.09,30.17,0.06,7.78
VALTOTOPI,17/09/2018,40.9928928,23.5981913,0.01,0.56,15.77,0.31,8.09
VALTOTOPI,13/09/2019,40.9928928,23.5981913,0.1,4.74,27.17,2.03,10.01
VALTOTOPI,28/02/2018,40.9928928,23.5981913,9.89,44.19,106.38,16.49,16.49
VALTOTOPI,27/02/2019,40.9928928,23.5981913,0,9.92,55.54,8.9,14.04
VALTOTOPI,4/2/2020,40.9928928,23.5981913,0,0.73,8.42,0.48,3.5
VARDAROV,21/05/2018,40.696548,22.676432,1.86,6.85,43.44,3.93,11.81
VARDAROV,18/09/2018,40.696548,22.676432,0.12,0.14,16.63,0.12,13.46
VARDAROV,31/08/2021,40.696548,22.676432,0,0.66,3.81,0.33,1.18
VARDAROV,25/02/2019,40.696548,22.676432,0.01,6.57,53.18,6.54,10.7
VOZVOZ,21/02/2018,41.01488751,25.31924269,0.56,22.27,92.93,21.35,21.35
VOZVOZ,21/02/2019,41.01488751,25.31924269,0,1.36,150.41,1.35,43.1
ZEVGO,18/09/2018,41.09019,23.29307,0.28,0.29,20.81,0.28,15.14
3POTAMO,24/08/2018,37.36144199,22.09469877,0.01,0.91,23.94,0.48,6.2
A25,24/01/2020,40.895188,22.615196,0,0.75,5.22,0.41,3.42
AG31,11/9/2019,41.041846,24.037177,0.79,8.78,45.29,6.52,24.07
AG31,24/09/2021,41.041846,24.037177,0,16.22,37.57,9.07,9.07
ALMYR_DW,12/5/2021,39.18198732,22.77727457,0,0.8,34.29,0.71,18.65
ALMYR_DW,31/05/2019,39.18198732,22.77727457,0.01,1.91,8.86,1.16,1.49
ALMYR_DW,28/08/2020,39.18198732,22.77727457,0,0.4,69.96,0.35,50.33
ALMYR_DW,31/08/2021,39.18198732,22.77727457,0,0.03,7.89,0.02,2.32
ALMYR_DW,1/9/2019,39.18198732,22.77727457,0.02,0.03,4.75,0.02,1.97
ANTHEM_DW,20/05/2018,40.516981,22.991656,3.61,4.91,80.35,3.61,19
